nama_file_gambar,jawaban_fisik_ditandai_str,jawaban_dideteksi_sistem_str,skor_dari_sistem
ljk_asli_01_rot4_14.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","1,1,3,1,1,2,1,4,3,2,1,1,2,3,1,1,1,2,1,2,2,2,0,2,1,2,4,0,2,1",83.33333333
ljk_asli_01_rot4_persp_slight_7.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,1,4,1,1,4,3,3,3,1,2,3,1,1,1,2,4,2,3,2,0,2,1,4,4,0,2,1",86.66666667
ljk_asli_02_bc_a0.8_b-16_11.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,1,1,1,1,4,3,2,1,4,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1",86.66666667
ljk_asli_02_bc_a1.1_b11_9.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","0,3,3,1,1,1,1,1,2,2,1,1,2,3,1,2,1,2,1,2,3,2,0,2,1,2,2,0,2,1",83.33333333
ljk_asli_02_bc_a1.1_b16_noise45_0.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,1,3,1,1,4,3,3,1,1,2,2,0,1,4,2,1,2,3,2,0,2,1,2,4,0,2,1",83.33333333
ljk_asli_02_bc_a1.2_b13_14.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,4,3,1,1,1,1,4,3,2,2,1,2,3,1,1,1,2,1,2,3,2,0,2,4,4,4,0,2,1",83.33333333
ljk_asli_02_noise18_8.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,0,1,1,1,1,4,3,2,1,1,2,3,1,1,1,0,1,2,3,4,0,2,1,2,4,0,2,1",96.66666667
ljk_asli_02_noise45_rot2_13.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,2,1,1,1,4,3,2,1,1,2,3,1,0,1,2,1,2,3,2,0,4,0,2,4,0,2,1",93.33333333
ljk_asli_02_persp_slight_2.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","4,1,3,1,1,0,1,4,3,2,2,1,2,3,0,1,2,2,1,2,3,2,0,2,4,2,4,0,2,1",80
ljk_asli_02_persp_slight_3.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,0,1,1,1,4,3,3,1,1,2,3,1,1,4,2,1,2,3,2,0,2,1,2,4,4,2,1",86.66666667
ljk_asli_02_persp_slight_6.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,1,1,1,1,4,3,1,1,1,2,3,1,1,1,1,1,2,2,2,0,2,1,1,1,0,1,1",86.66666667
ljk_asli_02_persp_slight_rot-1_10.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","1,1,2,3,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,4,0,2,0,2,0,2,4,0,2,1",90
ljk_asli_02_persp_slight_rot1_7.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,0,3,1,0,1,1,4,3,2,2,1,2,3,1,1,1,2,1,2,3,2,2,2,1,2,3,0,2,1",93.33333333
ljk_asli_02_rot-1_12.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,2,1,1,1,4,4,3,2,1,1,2,3,1,1,1,2,4,2,3,2,0,2,1,2,4,0,3,1",86.66666667
ljk_asli_02_rot-2_noise27_1.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,1,1,1,1,1,4,3,2,1,1,2,3,1,1,4,1,3,2,3,2,0,2,2,2,4,0,2,1",83.33333333
ljk_asli_02_rot-3_bc_a1.0_b-13_4.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,1,1,1,1,4,3,2,1,1,2,3,3,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1",80
ljk_asli_02_rot-4_5.jpg,"2,1,3,1,1,1,1,4,3,2,1,1,2,3,1,1,1,2,1,2,3,2,0,2,1,2,4,0,2,1","2,1,3,1,1,1,3,4,3,2,1,1,2,3,1,1,1,2,1,2,1,2,0,2,1,2,4,0,2,1",86.66666667
